computed_at,race_id,as_of_date,days_out,margin,dem_pct,rep_pct,n_polls,effective_n,n_partisan,partisan_lean,excluded_partisan,window_days,half_life_days
2026-08-31T18:04:00,2026-senate-NC,2026-08-31,64,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-08-31T18:04:00,2026-senate-ME,2026-08-31,64,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-08-31T18:04:00,2026-senate-OH,2026-08-31,64,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-08-31T18:04:00,2026-senate-TX,2026-08-31,64,3.26,46.61,43.35,9,6.52,1,0.0,False,45,14
2026-08-31T18:04:00,2026-senate-IA,2026-08-31,64,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-08-31T18:04:00,2026-senate-NH,2026-08-31,64,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-08-31T18:04:00,2026-senate-MN,2026-08-31,64,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-08-31T18:04:01,2026-senate-AK,2026-08-31,64,1.6,50.8,49.2,1,1.0,0,,False,45,14
2026-08-31T18:04:01,2026-gov-AZ,2026-08-31,64,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-08-31T18:04:01,2026-gov-PA,2026-08-31,64,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-08-31T18:04:01,2026-gov-MI,2026-08-31,64,4.74,47.32,42.59,6,4.34,0,,False,45,14
2026-08-31T18:04:01,2026-gov-OH,2026-08-31,64,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-08-31T18:04:01,2026-gov-TX,2026-08-31,64,-4.81,43.27,48.08,9,6.46,1,1.12,False,45,14
2026-08-31T18:04:01,2026-gov-FL,2026-08-31,64,-6.26,39.1,45.37,2,1.87,0,,False,45,14
2026-08-31T18:04:01,2026-gov-NY,2026-08-31,64,10.0,49.0,39.0,1,1.0,0,,False,45,14
2026-08-31T18:04:01,2026-gov-CA,2026-08-31,64,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-08-31T18:04:01,2026-gov-NM,2026-08-31,64,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-08-31T18:04:01,2026-gov-GA,2026-08-31,64,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-08-31T18:04:02,2026-gov-WI,2026-08-31,64,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-08-31T18:04:02,2026-gov-ME,2026-08-31,64,11.83,49.0,37.17,2,1.67,0,,False,45,14
2026-08-31T18:04:02,2026-gov-NH,2026-08-31,64,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-08-31T18:04:02,2026-gov-MN,2026-08-31,64,16.0,52.0,36.0,1,1.0,0,,False,45,14
